year,date,match_id,home_team,away_team,p_home_win,p_draw,p_away_win,predicted_class
2010,2010-06-21,31,Spain,Honduras,0.7590832766822224,0.13709753853900386,0.10381918477877367,home_win
2010,2010-06-22,32,Greece,Argentina,0.2559598982334137,0.2845405638217926,0.4594995379447937,away_win
2010,2010-06-22,33,Mexico,Uruguay,0.4182608078873639,0.32742412849808505,0.25431506361455103,home_win
2010,2010-06-22,34,Nigeria,South Korea,0.309447100477007,0.29535027458219903,0.39520262494079395,away_win
2010,2010-06-22,35,South Africa,France,0.30787859284515956,0.3337551454828723,0.35836626167196817,away_win
2010,2010-06-23,36,Australia,Serbia,0.31107937362553556,0.32015507459178344,0.368765551782681,away_win
2010,2010-06-23,37,Ghana,Germany,0.1525009572505951,0.26038333773612976,0.5871157050132751,away_win
2010,2010-06-23,38,Slovenia,England,0.14226580090122823,0.20998863011564703,0.6477455689831247,away_win
2010,2010-06-23,39,United States,Algeria,0.6929056850941684,0.188444813741589,0.11864950116424267,home_win
2010,2010-06-24,40,Cameroon,Netherlands,0.1615774285323194,0.24567299349090477,0.5927495779767759,away_win
2010,2010-06-24,41,Denmark,Japan,0.38800693225819277,0.31791536105183593,0.2940777066899713,home_win
2010,2010-06-24,42,Paraguay,New Zealand,0.5392440718187115,0.28059423806054107,0.1801616901207474,home_win
2010,2010-06-24,43,Slovakia,Italy,0.2038864642381668,0.2275027483701706,0.5686107873916626,away_win
2010,2010-06-25,44,Chile,Spain,0.18832700796397067,0.2756305162145428,0.5360424758214866,away_win
2010,2010-06-25,45,North Korea,Ivory Coast,0.23331436961974042,0.28172795705223275,0.4849576733280268,away_win
2010,2010-06-25,46,Portugal,Brazil,0.17867656477233382,0.28346176246036514,0.537861672767301,away_win
2010,2010-06-25,47,Switzerland,Honduras,0.35447456376330366,0.29726680227318997,0.3482586339635064,home_win
2010,2010-06-26,48,United States,Ghana,0.4489414527696804,0.2656376142989878,0.2854209329313318,home_win
2010,2010-06-26,49,Uruguay,South Korea,0.41877028346061707,0.2961377203464508,0.28509199619293213,home_win
2010,2010-06-27,50,Argentina,Mexico,0.30604751742169367,0.27248905733162504,0.4214634252466813,away_win
2010,2010-06-27,51,Germany,England,0.29458360108234877,0.2942327383617915,0.41118366055585975,away_win
2010,2010-06-28,52,Brazil,Chile,0.5881588038253428,0.2475122734162889,0.16432892275836833,home_win
2010,2010-06-28,53,Netherlands,Slovakia,0.734124411134058,0.20170509514652052,0.06417049371942142,home_win
2010,2010-06-29,54,Paraguay,Japan,0.40499945268036563,0.29154931630047215,0.3034512310191622,home_win
2010,2010-06-29,55,Spain,Portugal,0.6156812722777941,0.22349947024883418,0.1608192574733717,home_win
2010,2010-07-02,56,Netherlands,Brazil,0.29506683349609375,0.3079514503479004,0.39698171615600586,away_win
2010,2010-07-02,57,Uruguay,Ghana,0.4788182449164725,0.3159736143942716,0.2052081406892559,home_win
2010,2010-07-03,58,Argentina,Germany,0.2238373689699957,0.2569662553976102,0.5191963756323941,away_win
